clip_id,frame_index,frame_number,pts,pts_time,duration_pts,duration_time,key_frame,pict_type,image_path,image_sha256,issue_ids
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,0,1,0,0.000000,,,1,I,frames/frame-000000.png,B3AFA2C45E4925E10DB7B60DC1D053637BC0D1371A3A0334E0F784301F05BCB8,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,1,2,512,0.041667,,,0,B,frames/frame-000001.png,BF3A390AC62D0E93174DE00C079B7D78E5A16B87638ACA08A8405D7B6F62D1D5,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,2,3,1024,0.083333,,,0,B,frames/frame-000002.png,58F8DBFD4BD42C7DD8206B2641CC2FFBE489A451D124BB11E700DDE0F2B956EC,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,3,4,1536,0.125000,,,0,B,frames/frame-000003.png,D75595F37B2A532A06EA29C00276BF0AD7D7A89BA7AD66EA95AF4A514A171390,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,4,5,2048,0.166667,,,0,P,frames/frame-000004.png,1805E7AE84CEF5752B1158C566EE46403D7284AA5FBAA088C33B4CD2A505F129,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,5,6,2560,0.208333,,,0,B,frames/frame-000005.png,78B248BD4AF9EF92724695AA85D8D123831AB25819D4532CAD8567C587C3A834,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,6,7,3072,0.250000,,,0,B,frames/frame-000006.png,7F47B40732CC111948198D7A33622E73060A86F98F113603E49ACF0E64D90E0C,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,7,8,3584,0.291667,,,0,B,frames/frame-000007.png,76F88716FAD314188CF3A94203E0FBCCA8A03B270CC12CCFEA149B2279EC2838,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,8,9,4096,0.333333,,,0,P,frames/frame-000008.png,B69F3B6931D2D014770FF7C81A572D1CAAD6882404C991AB233C3035DC1CD61E,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,9,10,4608,0.375000,,,0,B,frames/frame-000009.png,B8648458351FE498AE06838B4FBF8296B2B1841CFE718545199675F740F9D4B8,
