clip_id,frame_index,frame_number,pts,pts_time,duration_pts,duration_time,key_frame,pict_type,image_path,image_sha256,issue_ids
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,10,11,5120,0.416667,,,0,B,frames/frame-000010.png,E9BD06EEDD2545F6A040779603AAA9CBFE511FF97ED2BDB19115821316453812,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,11,12,5632,0.458333,,,0,B,frames/frame-000011.png,01AAFA1EA5421A28E2471D523051D4FF83FC2C3A281B7C1D787C3E0707CEB885,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,12,13,6144,0.500000,,,0,P,frames/frame-000012.png,7D465E5DDA7B62F32D9B104C5084CF7E578DD88A8220D48F8BC8ABA752B72731,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,13,14,6656,0.541667,,,0,B,frames/frame-000013.png,558B0C6087ED12004B7F79949C320992534C1A3756A3D1490171AB53D148B5B3,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,14,15,7168,0.583333,,,0,B,frames/frame-000014.png,4C36C3ECB34A77819A3148F8F63056A7BDA18449CDAF80D3E6E55A402F98BD36,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,15,16,7680,0.625000,,,0,B,frames/frame-000015.png,8A6776AA622CDC04F3A7F109C187FCAC250F5240E644DAAD1260E4E4AFC7E4CB,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,16,17,8192,0.666667,,,0,P,frames/frame-000016.png,A01FDD00E93D52E93623CF5B1F937A153DFA731B36562612BC05154B747FCEC9,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,17,18,8704,0.708333,,,0,B,frames/frame-000017.png,6E9FA68886AAED888B25638D18F037F9DCCD95A8834E67E73AB3B243D3CF89BF,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,18,19,9216,0.750000,,,0,B,frames/frame-000018.png,6C385FBE72D2F373737D3D55D65FD2A5F9A214B1FD52D73E2BD0FE2DCA321EA8,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,19,20,9728,0.791667,,,0,B,frames/frame-000019.png,0C5228842D29DDAF2DAC199BC252A48DF4E2507CF73BB82608FF40D3324FE85D,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,20,21,10240,0.833333,,,0,P,frames/frame-000020.png,2AD518973E8F8101502AEA38A98DA9EFEEC613C122C270AE72F00E0EFD684FE6,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,21,22,10752,0.875000,,,0,B,frames/frame-000021.png,FA7C3EA35CDD90EC3D174485F35F2D2F602432E1EAA9CDA3F167937B02B53E01,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,22,23,11264,0.916667,,,0,B,frames/frame-000022.png,199135AA8F8CE966B5DB33F01B15298DE46CAF9807DD1B89AE8136A48D9EBFDF,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,23,24,11776,0.958333,,,0,B,frames/frame-000023.png,8F8946AD92B43B195D86E466E6053C77E8F5A2DA78A3056365FA11176C2F22F2,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,24,25,12288,1.000000,,,0,P,frames/frame-000024.png,4AA07DB5B34C747216068F894BCD7F903D1CF88930CFFA112CBFACCB8F156E9F,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,25,26,12800,1.041667,,,0,B,frames/frame-000025.png,E1FE566FC98E0DE3CC18896036D414A471BB576804BA38617CD1541D1C442D19,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,26,27,13312,1.083333,,,0,B,frames/frame-000026.png,61ECE10DB0DCF3AB82B1E14E5F935788D248D424A4CD41E53BFE9C110615641B,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,27,28,13824,1.125000,,,0,B,frames/frame-000027.png,8A7201F015FB64A7E3CBC167EED6005A3DAB832DCC368CC8DEB95662BB97E152,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,28,29,14336,1.166667,,,0,P,frames/frame-000028.png,CCF9E78E6BA5B69B8B4F24D39292FD9E85B09C730C47920AA45C853F02E3F173,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,29,30,14848,1.208333,,,0,B,frames/frame-000029.png,85644EE4563F4ACC2DEF5D21B12F5A5FD84CF84AED91B6AECDB74598B1CE67C0,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,30,31,15360,1.250000,,,0,B,frames/frame-000030.png,2EA72C50BB5479301747B35ED3AC2BEE893FE1BB59155110DA8CFA1507CAEFEE,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,31,32,15872,1.291667,,,0,B,frames/frame-000031.png,B8E2BF4C86B8EDA4993FA8D7C29F4F19A9AA64596916D3CE1C01F03F26CA0741,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,32,33,16384,1.333333,,,0,P,frames/frame-000032.png,5A58ACC32EC5EB114A20C9199599260E1E911E6B766DFDD3F8259F7581B72769,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,33,34,16896,1.375000,,,0,B,frames/frame-000033.png,9700BAB6397210ABC2C702B41B807C10486651F9C23EEA75334CC72D5D3F701E,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,34,35,17408,1.416667,,,0,B,frames/frame-000034.png,536438E7646D23EA7FC1D7277F4F8782F5663E8670D1E7483BB17BBFE6BD268E,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,35,36,17920,1.458333,,,0,B,frames/frame-000035.png,83C0E569A43845EF5491052A546E784F1CE151F31D17C6C4E03F26B9FF89B501,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,36,37,18432,1.500000,,,0,P,frames/frame-000036.png,F938BFFA6B448FDC2427CE5189E1F1E15B8B7FA7C5313D1F82E27C1DC7ADAD09,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,37,38,18944,1.541667,,,0,B,frames/frame-000037.png,CEA52DBC4387020BC0D8D861160F68CC93D0EA44E85DEF399866910FE67A49F7,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,38,39,19456,1.583333,,,0,B,frames/frame-000038.png,E1EE74EB3B39FF3613E8A979DCCD0035D0DC4D7B083D87D0D277BF4359B62743,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,39,40,19968,1.625000,,,0,B,frames/frame-000039.png,7AA82D40457B7133D752BE2FA6EF16F235C66E6FEC716AC7EDF751DA50D2B52A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,40,41,20480,1.666667,,,0,P,frames/frame-000040.png,52A766331275DAB84E547D76BE610E5FDE59E3C1336E13BD7BD18D7EC0503B18,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,41,42,20992,1.708333,,,0,B,frames/frame-000041.png,F314DC4DDD8A5FB6791BF342AB79F8A8CFFDB2D30E6D655B4EE33DCACE519372,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,42,43,21504,1.750000,,,0,B,frames/frame-000042.png,0A7D0BCE899A4CE9D56292303AB62AA12FEF776E5C63D9F621B37333965EBA70,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,43,44,22016,1.791667,,,0,B,frames/frame-000043.png,B27A433D787E2DD75F93CBF15E865C71ACD73ED2346603EE169A50A693A9468A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,44,45,22528,1.833333,,,0,P,frames/frame-000044.png,2B2294C22963BBB0191B5D584D9EE9D14F2831E8674308A3313F8A06247B2945,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,45,46,23040,1.875000,,,0,B,frames/frame-000045.png,7CB8F246A52C65699FCD634202B3F1DDECEF3D0EDB463FA519C9D0F5CE0B62FF,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,46,47,23552,1.916667,,,0,B,frames/frame-000046.png,86BE249A17736D6FDECAD1F37613FCC6AE8BA8FB0BAC7DF2CC29403DC8128547,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,47,48,24064,1.958333,,,0,B,frames/frame-000047.png,F50DEA50F4FFB854C81F5D2ECDBB3B7695E2B51B2CF19E994326C19E60D04A65,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,48,49,24576,2.000000,,,0,P,frames/frame-000048.png,62BB961210D9BE7AB441326E08DA66C15EDF5D6829F64F4C03FFC059699DF9DF,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,49,50,25088,2.041667,,,0,B,frames/frame-000049.png,C600FA867A161491FC1DE22585F81B8895C1E444D1FA9ECBE0854D598C0ADD0A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,50,51,25600,2.083333,,,0,B,frames/frame-000050.png,6D19F174D67AB4D187A5C31352CBF753DFFFC6DE4A664377C2A3281B8B96A488,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,51,52,26112,2.125000,,,0,B,frames/frame-000051.png,04A1AFABC6F627D9C5A7054E297584D2B72BAC3011C1FF53C16EF3FF5AB55334,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,52,53,26624,2.166667,,,0,P,frames/frame-000052.png,380CCD899802F3820BB1F57334BD9B04771A6AD112587ADE5186F802B1C30792,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,53,54,27136,2.208333,,,0,B,frames/frame-000053.png,747D423CA38748561324EB741FE3FC55F2901EED8A31DB2411F4651B83F7D026,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,54,55,27648,2.250000,,,0,B,frames/frame-000054.png,213324A278514C94BFFF89B80CCB510AA763BFB3AF3E4FD77794DD48638686C1,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,55,56,28160,2.291667,,,0,B,frames/frame-000055.png,1F7C48F28E522A9993560C91F5370F6E67BAD23262E12B2459003D557752FBCF,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,56,57,28672,2.333333,,,0,P,frames/frame-000056.png,41890F220756AC1720980814933B88CE77EB7ACC4D2F58530B4E2F95982EFA44,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,57,58,29184,2.375000,,,0,B,frames/frame-000057.png,7A5A82FF928166F628D6F11D94F0D152E172E8773652E1D087CC407076198F35,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,58,59,29696,2.416667,,,0,B,frames/frame-000058.png,54924C17FF5E0CAFB531256761206381CC1661F1C7AC842D08A7791D716E6544,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,59,60,30208,2.458333,,,0,B,frames/frame-000059.png,A442EC3DB815A0E937E6DE8CA2F429F5F417F882385FFAEABB7C7C3787A0CAA0,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,60,61,30720,2.500000,,,0,P,frames/frame-000060.png,8A6B3E97A54756611D1339E8138EBB46C96FAC71EA4E2C06F5AE9E0F67CDA861,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,61,62,31232,2.541667,,,0,B,frames/frame-000061.png,1CE9C578A36E2DBAB067D4DD00C094C4E6B9D5D5AEF7E10D581D03489B0F190B,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,62,63,31744,2.583333,,,0,B,frames/frame-000062.png,D537705B8C516AC6BB503D9BD10067A4ADA1163D54E36FBC2A29044550A06427,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,63,64,32256,2.625000,,,0,B,frames/frame-000063.png,E2BACD7F905C496E36D3D37499500645C56974BE322291DA4D5284B3E66123CC,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,64,65,32768,2.666667,,,0,P,frames/frame-000064.png,7E570EFD26595E4024BE19E6BDF8D899321504FDB54DBECAF2C272BC2923EB6F,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,65,66,33280,2.708333,,,0,B,frames/frame-000065.png,AD19D341AAA03F6D13611F32A88D88883F0C230A163C33A16D58EB576273D77D,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,66,67,33792,2.750000,,,0,B,frames/frame-000066.png,875F8EFE6B2B86493EE9EBD889BA86FC5B573A667CB8FED141CAF3B0EE2B8D98,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,67,68,34304,2.791667,,,0,B,frames/frame-000067.png,29336B7C8E4F46BC9455DA73526D9921F346769C3E7B1618B18103BAA9A9E49E,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,68,69,34816,2.833333,,,0,P,frames/frame-000068.png,EF36D4919575B815242BE679E1597B927B5A6885DE64E82860320972F9F6B3D9,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,69,70,35328,2.875000,,,0,B,frames/frame-000069.png,DF53152FD5743E8EFE3BFA8A4404A74218178EE40AEFECE45BBBABF105466B42,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,70,71,35840,2.916667,,,0,B,frames/frame-000070.png,E7FB4B913CAB96BD2E233828CA4FCA2905116B8852F2C9F546D5AD2FD5DF53A6,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,71,72,36352,2.958333,,,0,B,frames/frame-000071.png,A3BB72BF6CC57F9965489F4175FC4FCF2B9FF9EDD1D860E3A713D0BF0FF1122A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,72,73,36864,3.000000,,,0,P,frames/frame-000072.png,5F09DE302AD169FF3D030CC867E3213E288E8E23F27710B5F7970CC4CFBB43CC,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,73,74,37376,3.041667,,,0,B,frames/frame-000073.png,7D64DD1C39E7F0A02BD62CC0D7461C8DA83BBB8FCE43BB5C3938E961FBB89432,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,74,75,37888,3.083333,,,0,B,frames/frame-000074.png,4B613EA1D80E9D33CA2689A9ACB468DFE4824EAACBFAD3EF24F7060F51EBA7CE,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,75,76,38400,3.125000,,,0,B,frames/frame-000075.png,3DCDD4691871B121077A06B7DA14EFF4B4061DF78B0CEE07B34F8D35D96595F1,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,76,77,38912,3.166667,,,0,P,frames/frame-000076.png,4920EB434C87BCB67FFA1FD67A9CC19B4029BC61935AD9C3E6F2F0F00B9241A5,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,77,78,39424,3.208333,,,0,B,frames/frame-000077.png,583D5047A0C61B44CC824A4629EA270CB43F4E5676C3CA939205A30A72C4794A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,78,79,39936,3.250000,,,0,B,frames/frame-000078.png,95BF583B66A4EE0E548A1CE316C3938CEC8E74C1A67DFDABC22D1AFE62B9B625,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,79,80,40448,3.291667,,,0,B,frames/frame-000079.png,7FDC7328B8F5BD16C0996990A88019EEF1A4C4135C1C060DED1EA96B1400E28B,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,80,81,40960,3.333333,,,0,P,frames/frame-000080.png,9C403278F1EB2D8F04EA52868775AA4DE71064C9237E1A4265DB27F5BE34B50A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,81,82,41472,3.375000,,,0,B,frames/frame-000081.png,FCE3CB4C91DEA1DE295048DC00C24E1F7B29EAECA868B4062EE6741409A039B5,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,82,83,41984,3.416667,,,0,B,frames/frame-000082.png,3072AA4AE3A5B1C589725CE35DDA96FA2ACBE5988BF3535B77A8C8E296604ABB,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,83,84,42496,3.458333,,,0,B,frames/frame-000083.png,73B089AA5A077510A042FE5645A1EFAF8256E6D57D03712B159799CAF421566D,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,84,85,43008,3.500000,,,0,P,frames/frame-000084.png,B6CE24E955FC961573011CAAFDD54918AB92446CCBB4AB579398419351074F97,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,85,86,43520,3.541667,,,0,B,frames/frame-000085.png,BA35A9ED858B27048170314D725C2C5C37B5AB1FADC9554702C617AEE847D96C,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,86,87,44032,3.583333,,,0,B,frames/frame-000086.png,7146002C4E14C8495D8B433EA55EB6F145AC4AE64BBEF9AC1980CBA6C9528A3B,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,87,88,44544,3.625000,,,0,B,frames/frame-000087.png,237E4E1D77D9773CCA51341FF06A023F61734535A00C913F7D0B29BFE49A90D6,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,88,89,45056,3.666667,,,0,P,frames/frame-000088.png,64A8BD881AA4703A877F04798C61980781DA9251984FEDA8B10191CB4CBA6150,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,89,90,45568,3.708333,,,0,B,frames/frame-000089.png,A2FB298C0639B53E6CCFD9E320F8F1538601F374012D79DA0CF29D3371A6474A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,90,91,46080,3.750000,,,0,B,frames/frame-000090.png,DC3EF282EE41A357625E9A9048044B824F88C9733F6A05F4CD695C2D12CAE1CF,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,91,92,46592,3.791667,,,0,B,frames/frame-000091.png,A85ED0E09C2C270F9AC17FBF31F90BAC3A250A6CCFF1ADDA214D8850EE83C9F1,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,92,93,47104,3.833333,,,0,P,frames/frame-000092.png,DEF693E5D05D4EDBFA0031ADA22FD83FE27DC41FCB490B36890B7E7B156DC5F9,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,93,94,47616,3.875000,,,0,B,frames/frame-000093.png,5C125D027D2FE1DC4C8348D73FB53CEB96FD59BE5CBA7E17DA356B42A95BA558,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,94,95,48128,3.916667,,,0,B,frames/frame-000094.png,BA4CF5C33BF5A0E96411835F3462D9CDE7873D16F130C5E3D604047BD1045A24,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,95,96,48640,3.958333,,,0,B,frames/frame-000095.png,13545304DAF18E7523F503F7FF556747998B03062FF55C1F7B64F1BD00B64538,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,96,97,49152,4.000000,,,0,P,frames/frame-000096.png,4092347C6E1287D0987259F6761AD3947D3907C6EF579EA9C5950E82DD2BE301,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,97,98,49664,4.041667,,,0,B,frames/frame-000097.png,3EAB033B71606222790B0634680B60CB5338999C0A307AD69EC176E2975C52C3,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,98,99,50176,4.083333,,,0,B,frames/frame-000098.png,8112573948701D685B87A4AD61C30962E9F6EB2AAE9EA21FE5261F69F88E6A7E,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,99,100,50688,4.125000,,,0,B,frames/frame-000099.png,724D2E0658695157141C628DA1D410C385195355CDFAE970F072B46807081531,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,100,101,51200,4.166667,,,0,P,frames/frame-000100.png,D72D51D9C07108ECADBC1248E01423A6E85D7F451223E866F7AF1B8A95317171,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,101,102,51712,4.208333,,,0,B,frames/frame-000101.png,19FE03BF2A9EFFCCC622E0559A66141B05AAF3121756C03838D92D7B0F048E44,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,102,103,52224,4.250000,,,0,B,frames/frame-000102.png,1D5097DD98B34FBB4DA2430A98926E067811E2FAF6BB4B96835CB7A8F4FB7E3F,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,103,104,52736,4.291667,,,0,B,frames/frame-000103.png,11C5615F120C3FDA947566C081CEA49B3689F02F9E11180AA62262DCBE880455,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,104,105,53248,4.333333,,,0,P,frames/frame-000104.png,CAE0006603034D46C9B000F1B796EEB312B891C60B1FDF9B93987EF9FDEAE19C,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,105,106,53760,4.375000,,,0,P,frames/frame-000105.png,4DEBED6ADCA51C6F52F1A5BE5E9F03DE444979AD7819AE8248E0B80452B5E0A4,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,106,107,54272,4.416667,,,0,P,frames/frame-000106.png,BF17B1D45864C64128577D27311553F59358D15933440BB27C32891BD7A48BF5,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,107,108,54784,4.458333,,,0,B,frames/frame-000107.png,8AF7A6D5920924A1C827338DFB67459FFDFDD73ED752C2A974C82C407FDD6513,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,108,109,55296,4.500000,,,0,B,frames/frame-000108.png,2C0C0E5B429B5736BF05AA40D6D1A5A8FCFA5CBB84E1731C883E90F359C69AA7,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,109,110,55808,4.541667,,,0,B,frames/frame-000109.png,238BC7FA015C06EC360727B8F5C6A315E2AE4AAC898DCAA2BA1318F20FF85139,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,110,111,56320,4.583333,,,0,P,frames/frame-000110.png,9F73CBEDAFF568409E6272E1A16F03DC0381637D6F9BF35B64B83CBCA0557397,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,111,112,56832,4.625000,,,0,B,frames/frame-000111.png,4664858A50A6982AA53F0585593B05062817B86EC1BFCBEC6D1E186553A82BE9,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,112,113,57344,4.666667,,,0,B,frames/frame-000112.png,007582D653B6928CB3C09605C7EDE63E0753A5D93E6A77F8E67EDF98EEBF9129,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,113,114,57856,4.708333,,,0,B,frames/frame-000113.png,3FB53D6283DD8CB8E11AC4B4778254F076CF2B17AEA3684552AA46B7FE2A572B,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,114,115,58368,4.750000,,,0,P,frames/frame-000114.png,433CAD546723E24D488532EB1BC79B17FDB59894D23E22D38D512BE936FBE49C,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,115,116,58880,4.791667,,,0,B,frames/frame-000115.png,F9EF13FC1FE3FDEDB34ED9DEAAA4B0BD146B4A801713D81BFE63AE7832526006,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,116,117,59392,4.833333,,,0,B,frames/frame-000116.png,CF1729AB03318588E279A4F15BE2276CD535EB22DC3BE01EF47EA54F2C00FE5A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,117,118,59904,4.875000,,,0,B,frames/frame-000117.png,2ECBC57AE1628E44798C9966F1ED70D9D9DFCA936E20CF324D0CC1A0B007CCF8,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,118,119,60416,4.916667,,,0,P,frames/frame-000118.png,EDF89488C547DC69596D1EFC84A4788D0B810647E4B580CA0EBECB3A2B99B884,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,119,120,60928,4.958333,,,0,B,frames/frame-000119.png,36363BC7E7655F99F1C520CE7E9BDCD46A11CCB5BE69586A5F8A9A411419D1AB,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,120,121,61440,5.000000,,,0,B,frames/frame-000120.png,C2B10F797B554DD7A4B6DADB900E7DF5AF472FF0610368D69356672DEA230CBD,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,121,122,61952,5.041667,,,0,B,frames/frame-000121.png,6536C1ACD79011F361AE4243F697B9D49FA6662DF5FE42EFFCF0E45E4113F931,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,122,123,62464,5.083333,,,0,P,frames/frame-000122.png,CA89D467E4B23DED907D28297BCE518770D7E0560B750B0C71D7940BAC09B33A,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,123,124,62976,5.125000,,,0,B,frames/frame-000123.png,F0A7805FC3DA6AB27C748C14E3844A574C9A7C9744C82AA95E9B9C6BF05D72CB,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,124,125,63488,5.166667,,,0,B,frames/frame-000124.png,1F0E53B0877D366D02255515C7D8128844023447F2AE825A7C1C8414E64871CD,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,125,126,64000,5.208333,,,0,B,frames/frame-000125.png,6519CF097A512500616BF7E7F156206B546193D28F9A6197CFDCB46721FAC31F,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,126,127,64512,5.250000,,,0,P,frames/frame-000126.png,19783899844946E3DBD862921BEB75B3010581C385B8B55B03FB7A15E530289B,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,127,128,65024,5.291667,,,0,B,frames/frame-000127.png,274A0BD5704E17506A1D95E5135206A79613D7CA7DAE59A6FF43169263088362,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,128,129,65536,5.333333,,,0,B,frames/frame-000128.png,D8D3EDF5D6B1BEEAD59E0C3F5E1AB1D9688B96E1711DEBF27750CB4DA6F4BBAC,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,129,130,66048,5.375000,,,0,B,frames/frame-000129.png,848EB6D6F166EE0AC11E78D11C71CF8EAB089F801BE30E72F2BA5945318522C0,
sixiangjia_20260815_s02_makeup_pouch_seam_hold_v02,130,131,66560,5.416667,,,0,P,frames/frame-000130.png,D8524053A9645BEDEB658FAAC5AA59EFA57516B8F07B46F53ED4826E0D56765E,
